kegg,level_1,level_2,brite_name,BRITE_id,brite_level_1,brite_level_2
K02456,Environmental Information Processing,Membrane transport,,,,
K02457,Environmental Information Processing,Membrane transport,,,,
K02106,Environmental Information Processing,Signal transduction,,,,
K02455,Environmental Information Processing,Membrane transport,,,,
K02452,Environmental Information Processing,Membrane transport,,,,
K02101,,,,unknown,,
K02450,,,KEGG modules [BR:ko00002],ko00002,,
K02451,,,KEGG modules [BR:ko00002],ko00002,,
K08138,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K02108,Metabolism,Energy metabolism,,,,
K02109,Metabolism,Energy metabolism,,,,
K02458,Environmental Information Processing,Membrane transport,,,,
K05339,Environmental Information Processing,Signal transduction,,,,
K08137,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K08135,Organismal Systems,Digestive system,,,,
K03851,Metabolism,Metabolism of other amino acids,,,,
K03850,Metabolism,Glycan biosynthesis and metabolism,,,,
K03852,Metabolism,Metabolism of other amino acids,,,,
K03855,,,,unknown,,
K03854,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03857,Metabolism,Glycan biosynthesis and metabolism,,,,
K03856,Metabolism,Overview,,,,
K03859,Metabolism,Glycan biosynthesis and metabolism,,,,
K08133,Organismal Systems,Digestive system,,,,
K08132,Organismal Systems,Digestive system,,,,
K13018,Metabolism,Carbohydrate metabolism,,,,
K13019,Metabolism,Carbohydrate metabolism,,,,
K02195,Environmental Information Processing,Membrane transport,,,,
K13010,Metabolism,Carbohydrate metabolism,,,,
K13011,,,Lipopolysaccharide biosynthesis proteins [BR:ko01005],ko01005,Metabolism,Glycan biosynthesis and metabolism
K13012,,,Lipopolysaccharide biosynthesis proteins [BR:ko01005],ko01005,Metabolism,Glycan biosynthesis and metabolism
K13013,,,Lipopolysaccharide biosynthesis proteins [BR:ko01005],ko01005,Metabolism,Glycan biosynthesis and metabolism
K13014,Metabolism,Carbohydrate metabolism,,,,
K13015,Metabolism,Carbohydrate metabolism,,,,
K13016,Metabolism,Carbohydrate metabolism,,,,
K13017,Metabolism,Carbohydrate metabolism,,,,
K04888,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04883,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04882,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04881,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04880,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04887,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04886,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04885,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04884,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K03719,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K05846,Environmental Information Processing,Membrane transport,,,,
K13274,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13275,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13276,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13277,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K14396,Genetic Information Processing,Translation,,,,
K08150,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K13273,Metabolism,Metabolism of terpenoids and polyketides,,,,
K13278,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13279,Cellular Processes,Transport and catabolism,,,,
K13199,,,Spliceosome [BR:ko03041],ko03041,Genetic Information Processing,Transcription
K03275,Metabolism,Glycan biosynthesis and metabolism,,,,
K03274,Metabolism,Glycan biosynthesis and metabolism,,,,
K03277,Metabolism,Glycan biosynthesis and metabolism,,,,
K03276,Metabolism,Glycan biosynthesis and metabolism,,,,
K03271,Metabolism,Glycan biosynthesis and metabolism,,,,
K03270,Metabolism,Glycan biosynthesis and metabolism,,,,
K03273,Metabolism,Glycan biosynthesis and metabolism,,,,
K03272,Metabolism,Glycan biosynthesis and metabolism,,,,
K03279,Metabolism,Glycan biosynthesis and metabolism,,,,
K03278,Metabolism,Glycan biosynthesis and metabolism,,,,
K11022,Human Diseases,Infectious diseases,,,,
K12276,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12275,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12273,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12271,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12270,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K15095,Metabolism,Metabolism of terpenoids and polyketides,,,,
K07556,,,Mitochondrial biogenesis [BR:ko03029],ko03029,Genetic Information Processing,Translation
K12279,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12278,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K07225,,,,unknown,,
K07550,Metabolism,Overview,,,,
K07220,,,,unknown,,
K13908,Organismal Systems,Digestive system,,,,
K13909,Organismal Systems,Digestive system,,,,
K09909,,,,unknown,,
K01101,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K12050,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12057,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12056,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12055,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K12054,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K09901,,,,unknown,,
K09900,,,,unknown,,
K12059,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K09902,,,,unknown,,
K09904,,,,unknown,,
K09907,,,,unknown,,
K09906,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11501,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K11502,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K04464,Environmental Information Processing,Signal transduction,,,,
K00771,Metabolism,Glycan biosynthesis and metabolism,,,,
K09871,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K00773,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00772,Metabolism,Amino acid metabolism,,,,
K04467,Environmental Information Processing,Signal transduction,,,,
K00776,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00778,Metabolism,Glycan biosynthesis and metabolism,,,,
K04466,Environmental Information Processing,Signal transduction,,,,
K09873,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K09874,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K06317,,,,unknown,,
K03430,Metabolism,Metabolism of other amino acids,,,,
K07176,,,,unknown,,
K07177,,,,unknown,,
K07175,,,,unknown,,
K07172,,,Prokaryotic defense system [BR:ko02048],ko02048,Cellular Processes,Transport and catabolism
K07173,Metabolism,Overview,,,,
K07170,,,,unknown,,
K07171,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07178,Genetic Information Processing,Translation,,,,
K07179,Genetic Information Processing,Translation,,,,
K00194,Metabolism,Overview,,,,
K00197,Metabolism,Overview,,,,
K00196,Metabolism,Overview,,,,
K00193,Metabolism,Overview,,,,
K00192,Metabolism,Overview,,,,
K00198,Metabolism,Overview,,,,
K10109,Environmental Information Processing,Membrane transport,,,,
K10108,Environmental Information Processing,Membrane transport,,,,
K10107,Environmental Information Processing,Membrane transport,,,,
K10105,Metabolism,Metabolism of cofactors and vitamins,,,,
K10104,,,Cell adhesion molecules and their ligands [BR:ko04516],ko04516,Environmental Information Processing,Signaling molecules and interaction
K15557,Environmental Information Processing,Membrane transport,,,,
K15555,Metabolism,Energy metabolism,,,,
K15554,Metabolism,Energy metabolism,,,,
K15553,Metabolism,Energy metabolism,,,,
K04679,Environmental Information Processing,Signal transduction,,,,
K15551,Metabolism,Energy metabolism,,,,
K15550,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K01826,Metabolism,Overview,,,,
K04675,Environmental Information Processing,Signal transduction,,,,
K01825,Metabolism,Overview,,,,
K01822,Metabolism,Lipid metabolism,,,,
K01823,Metabolism,Metabolism of terpenoids and polyketides,,,,
K01820,Metabolism,Carbohydrate metabolism,,,,
K15558,Environmental Information Processing,Membrane transport,,,,
K15081,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K15083,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K15082,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K15084,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K00999,Metabolism,Carbohydrate metabolism,,,,
K00998,Metabolism,Lipid metabolism,,,,
K00995,Metabolism,Lipid metabolism,,,,
K00994,Metabolism,Lipid metabolism,,,,
K00997,Metabolism,Metabolism of cofactors and vitamins,,,,
K00996,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00991,Metabolism,Metabolism of terpenoids and polyketides,,,,
K00990,Environmental Information Processing,Signal transduction,,,,
K00993,Metabolism,Lipid metabolism,,,,
K00992,Metabolism,Carbohydrate metabolism,,,,
K15333,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15332,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15331,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15337,,,Polyketide biosynthesis proteins [BR:ko01008],ko01008,Metabolism,Metabolism of terpenoids and polyketides
K15336,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15335,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15334,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15339,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15338,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13483,Metabolism,Nucleotide metabolism,,,,
K13482,Metabolism,Nucleotide metabolism,,,,
K13481,Metabolism,Nucleotide metabolism,,,,
K13480,Metabolism,Nucleotide metabolism,,,,
K13487,Environmental Information Processing,Signal transduction,,,,
K13486,Environmental Information Processing,Signal transduction,,,,
K13485,Metabolism,Nucleotide metabolism,,,,
K13484,Metabolism,Nucleotide metabolism,,,,
K02624,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K14684,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K14686,Organismal Systems,Digestive system,,,,
K02738,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05109,Organismal Systems,Development,,,,
K14681,Metabolism,Overview,,,,
K08359,Metabolism,Energy metabolism,,,,
K08358,Metabolism,Energy metabolism,,,,
K08357,Metabolism,Energy metabolism,,,,
K08356,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08355,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05106,Organismal Systems,Development,,,,
K08353,Metabolism,Energy metabolism,,,,
K02736,Genetic Information Processing,"Folding, sorting and degradation",,,,
K08351,Metabolism,Metabolism of cofactors and vitamins,,,,
K05102,Organismal Systems,Development,,,,
K03468,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03469,Genetic Information Processing,Replication and repair,,,,
K11262,Metabolism,Overview,,,,
K09607,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03462,Metabolism,Metabolism of cofactors and vitamins,,,,
K03464,Metabolism,Overview,,,,
K03465,Metabolism,Nucleotide metabolism,,,,
K03466,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K01649,Metabolism,Overview,,,,
K01643,Environmental Information Processing,Signal transduction,,,,
K01640,Metabolism,Carbohydrate metabolism,,,,
K01641,Metabolism,Carbohydrate metabolism,,,,
K01646,Environmental Information Processing,Signal transduction,,,,
K01647,Metabolism,Overview,,,,
K01644,Environmental Information Processing,Signal transduction,,,,
K02597,,,,unknown,,
K02596,,,,unknown,,
K02594,Metabolism,Carbohydrate metabolism,,,,
K02593,,,,unknown,,
K02592,,,,unknown,,
K02591,Metabolism,Energy metabolism,,,,
K02590,,,,unknown,,
K02599,Environmental Information Processing,Signal transduction,,,,
K02598,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K02849,Metabolism,Glycan biosynthesis and metabolism,,,,
K02848,Metabolism,Glycan biosynthesis and metabolism,,,,
K14062,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K14063,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K14064,,,,unknown,,
K14065,,,,unknown,,
K14067,Metabolism,Overview,,,,
K02841,Metabolism,Glycan biosynthesis and metabolism,,,,
K02840,Metabolism,Glycan biosynthesis and metabolism,,,,
K02843,Metabolism,Glycan biosynthesis and metabolism,,,,
K02844,Metabolism,Glycan biosynthesis and metabolism,,,,
K02847,Metabolism,Glycan biosynthesis and metabolism,,,,
K02846,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09758,Metabolism,Overview,,,,
K06039,,,,unknown,,
K06034,Metabolism,Energy metabolism,,,,
K06030,Cellular Processes,Cell growth and death,,,,
K06033,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13498,Metabolism,Overview,,,,
K13499,Metabolism,Glycan biosynthesis and metabolism,,,,
K13490,Environmental Information Processing,Signal transduction,,,,
K13491,Environmental Information Processing,Signal transduction,,,,
K03644,Metabolism,Metabolism of cofactors and vitamins,,,,
K03645,,,DNA replication proteins [BR:ko03032],ko03032,Genetic Information Processing,Replication and repair
K03646,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03647,,,,unknown,,
K03640,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03641,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03642,,,,unknown,,
K03643,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03648,Genetic Information Processing,Replication and repair,,,,
K03649,Genetic Information Processing,Replication and repair,,,,
K06691,Genetic Information Processing,"Folding, sorting and degradation",,,,
K06693,,,Proteasome [BR:ko03051],ko03051,Genetic Information Processing,"Folding, sorting and degradation"
K06694,,,Proteasome [BR:ko03051],ko03051,Genetic Information Processing,"Folding, sorting and degradation"
K06695,,,Proteasome [BR:ko03051],ko03051,Genetic Information Processing,"Folding, sorting and degradation"
K06699,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12428,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12429,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12422,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K12423,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12420,Metabolism,Metabolism of terpenoids and polyketides,,,,
K12421,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12426,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12427,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K12425,,,Lipid biosynthesis proteins [BR:ko01004],ko01004,Metabolism,Lipid metabolism
K07349,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K07348,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K07345,Human Diseases,Infectious diseases,,,,
K07344,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K07347,Human Diseases,Infectious diseases,,,,
K07346,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K07341,,,Prokaryotic defense system [BR:ko02048],ko02048,Cellular Processes,Transport and catabolism
K07340,,,,unknown,,
K07343,,,,unknown,,
K07342,Genetic Information Processing,"Folding, sorting and degradation",,,,
K15288,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K06968,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06969,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06962,,,,unknown,,
K06963,,,Transfer RNA biogenesis [BR:ko03016],ko03016,Genetic Information Processing,Translation
K06960,,,,unknown,,
K06961,,,Ribosome biogenesis [BR:ko03009],ko03009,Genetic Information Processing,Translation
K06966,,,,unknown,,
K06967,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06964,,,,unknown,,
K06965,Genetic Information Processing,Translation,,,,
K08995,,,,unknown,,
K08994,,,,unknown,,
K08997,,,,unknown,,
K08996,,,,unknown,,
K08991,Genetic Information Processing,Replication and repair,,,,
K08990,,,,unknown,,
K08993,,,,unknown,,
K08992,,,,unknown,,
K08999,,,,unknown,,
K08998,,,,unknown,,
K02728,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05118,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05119,Human Diseases,Cancers,,,,
K05929,Metabolism,Lipid metabolism,,,,
K05928,Metabolism,Metabolism of cofactors and vitamins,,,,
K05927,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05925,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05922,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05921,Metabolism,Overview,,,,
K10352,Cellular Processes,Cellular commiunity,,,,
K10353,Metabolism,Nucleotide metabolism,,,,
K00698,Metabolism,Carbohydrate metabolism,,,,
K00699,Metabolism,Carbohydrate metabolism,,,,
K10356,,,Protein phosphatases and associated proteins [BR:ko01009],ko01009,Metabolism,Enzyme families
K10357,,,Messenger RNA biogenesis [BR:ko03019],ko03019,Genetic Information Processing,Translation
K10355,,,Cytoskeleton proteins [BR:ko04812],ko04812,Cellular Processes,Cell motility
K00692,Metabolism,Carbohydrate metabolism,,,,
K00341,Metabolism,Energy metabolism,,,,
K10358,,,Cytoskeleton proteins [BR:ko04812],ko04812,Cellular Processes,Cell motility
K10359,,,Cytoskeleton proteins [BR:ko04812],ko04812,Cellular Processes,Cell motility
K00344,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00697,Metabolism,Carbohydrate metabolism,,,,
K00694,Metabolism,Carbohydrate metabolism,,,,
K00347,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09113,Human Diseases,Endocrine and metabolic diseases,,,,
K09116,,,,unknown,,
K09117,,,,unknown,,
K05337,,,,unknown,,
K09118,,,,unknown,,
K09119,,,Transfer RNA biogenesis [BR:ko03016],ko03016,Genetic Information Processing,Translation
K02454,Environmental Information Processing,Membrane transport,,,,
K08502,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05823,Metabolism,Overview,,,,
K05820,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K08501,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05826,Metabolism,Overview,,,,
K05827,Metabolism,Overview,,,,
K08504,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05825,Metabolism,Overview,,,,
K02100,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K05828,Metabolism,Overview,,,,
K05829,Metabolism,Overview,,,,
K02453,Environmental Information Processing,Membrane transport,,,,
K00524,Metabolism,Nucleotide metabolism,,,,
K00525,Metabolism,Nucleotide metabolism,,,,
K00526,Metabolism,Nucleotide metabolism,,,,
K00527,Metabolism,Nucleotide metabolism,,,,
K00520,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00521,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00523,Metabolism,Carbohydrate metabolism,,,,
K02103,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K00528,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00529,Metabolism,Overview,,,,
K03455,,,,unknown,,
K04463,Environmental Information Processing,Signal transduction,,,,
K03456,Genetic Information Processing,Translation,,,,
K03983,Organismal Systems,Immune system,,,,
K03982,Environmental Information Processing,Signal transduction,,,,
K14217,Human Diseases,Infectious diseases,,,,
K14216,Human Diseases,Infectious diseases,,,,
K14215,Metabolism,Metabolism of terpenoids and polyketides,,,,
K14213,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05338,Environmental Information Processing,Signal transduction,,,,
K14211,Organismal Systems,Digestive system,,,,
K14210,Organismal Systems,Digestive system,,,,
K02459,Environmental Information Processing,Membrane transport,,,,
K00795,Metabolism,Metabolism of terpenoids and polyketides,,,,
K00026,Metabolism,Overview,,,,
K00793,Metabolism,Metabolism of cofactors and vitamins,,,,
K01347,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08585,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01344,Organismal Systems,Immune system,,,,
K01343,Organismal Systems,Immune system,,,,
K01342,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01341,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00022,Metabolism,Overview,,,,
K01349,Human Diseases,Infectious diseases,,,,
K09017,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K02690,Metabolism,Energy metabolism,,,,
K02691,Metabolism,Energy metabolism,,,,
K09016,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K00836,Metabolism,Overview,,,,
K00835,Metabolism,Amino acid metabolism,,,,
K00832,Metabolism,Overview,,,,
K00833,Metabolism,Metabolism of cofactors and vitamins,,,,
K00830,Metabolism,Overview,,,,
K00831,Metabolism,Overview,,,,
K00838,Metabolism,Overview,,,,
K00839,Metabolism,Nucleotide metabolism,,,,
K04335,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K04334,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K04337,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K01120,Metabolism,Nucleotide metabolism,,,,
K01127,Metabolism,Glycan biosynthesis and metabolism,,,,
K04446,Environmental Information Processing,Signal transduction,,,,
K04333,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K01124,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01129,Metabolism,Nucleotide metabolism,,,,
K04448,Environmental Information Processing,Signal transduction,,,,
K04338,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K02470,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05311,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K05312,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K02473,Metabolism,Carbohydrate metabolism,,,,
K02474,Metabolism,Carbohydrate metabolism,,,,
K02475,,,Two-component system [BR:ko02022],ko02022,Environmental Information Processing,Signal transduction
K02476,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K02477,,,Two-component system [BR:ko02022],ko02022,Environmental Information Processing,Signal transduction
K02478,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K02479,,,Two-component system [BR:ko02022],ko02022,Environmental Information Processing,Signal transduction
K01266,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08099,Metabolism,Metabolism of cofactors and vitamins,,,,
K09018,Metabolism,Nucleotide metabolism,,,,
K03879,Metabolism,Energy metabolism,,,,
K03878,Metabolism,Energy metabolism,,,,
K13075,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03872,Genetic Information Processing,"Folding, sorting and degradation",,,,
K03877,Metabolism,Glycan biosynthesis and metabolism,,,,
K03875,Genetic Information Processing,"Folding, sorting and degradation",,,,
K03874,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10468,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10469,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K11441,Metabolism,Carbohydrate metabolism,,,,
K08507,Genetic Information Processing,"Folding, sorting and degradation",,,,
K02588,Metabolism,Energy metabolism,,,,
